date_time,concentration
2019-12-27 00:01:59,0.018
2019-12-27 00:03:59,0.019
2019-12-27 00:05:59,0.019
2019-12-27 00:07:59,0.019
2019-12-27 00:09:59,0.019
2019-12-27 00:11:59,0.019
2019-12-27 00:13:59,0.019
2019-12-27 00:15:59,0.019
2019-12-27 00:17:59,0.019
2019-12-27 00:19:59,0.019
2019-12-27 00:21:59,0.019
2019-12-27 00:23:59,0.019
2019-12-27 00:25:59,0.019
2019-12-27 00:27:59,0.019
2019-12-27 00:29:59,0.018
2019-12-27 00:31:59,0.019
2019-12-27 00:33:59,0.018
2019-12-27 00:35:59,0.018
2019-12-27 00:37:59,0.019
2019-12-27 00:39:59,0.019
2019-12-27 00:41:59,0.019
2019-12-27 00:43:59,0.019
2019-12-27 00:45:59,0.019
2019-12-27 00:47:59,0.019
2019-12-27 00:49:59,0.019
2019-12-27 00:51:59,0.019
2019-12-27 00:53:59,0.019
2019-12-27 00:55:59,0.019
2019-12-27 00:57:59,0.018
2019-12-27 00:59:59,0.019
2019-12-27 01:01:59,0.018
2019-12-27 01:03:59,0.018
2019-12-27 01:05:59,0.018
2019-12-27 01:07:59,0.018
2019-12-27 01:09:59,0.019
2019-12-27 01:11:59,0.019
2019-12-27 01:13:59,0.018
2019-12-27 01:15:59,0.019
2019-12-27 01:17:59,0.019
2019-12-27 01:19:59,0.019
2019-12-27 01:21:59,0.019
2019-12-27 01:23:59,0.019
2019-12-27 01:25:59,0.019
2019-12-27 01:27:59,0.018
2019-12-27 01:29:59,0.019
2019-12-27 01:31:59,0.019
2019-12-27 01:33:59,0.019
2019-12-27 01:35:59,0.019
2019-12-27 01:37:59,0.019
2019-12-27 01:39:59,0.02
2019-12-27 01:41:59,0.02
2019-12-27 01:43:59,0.02
2019-12-27 01:45:59,0.019
2019-12-27 01:47:59,0.019
2019-12-27 01:49:59,0.019
2019-12-27 01:51:59,0.02
2019-12-27 01:53:59,0.02
2019-12-27 01:55:59,0.02
2019-12-27 01:57:59,0.02
2019-12-27 01:59:59,0.02
2019-12-27 02:01:59,0.02
2019-12-27 02:03:59,0.02
2019-12-27 02:05:59,0.02
2019-12-27 02:07:59,0.021
2019-12-27 02:09:59,0.021
2019-12-27 02:11:59,0.021
2019-12-27 02:13:59,0.02
2019-12-27 02:15:59,0.021
2019-12-27 02:17:59,0.02
2019-12-27 02:19:59,0.02
2019-12-27 02:21:59,0.021
2019-12-27 02:23:59,0.02
2019-12-27 02:25:59,0.02
2019-12-27 02:27:59,0.02
2019-12-27 02:29:59,0.021
2019-12-27 02:31:59,0.02
2019-12-27 02:33:59,0.02
2019-12-27 02:35:59,0.02
2019-12-27 02:37:59,0.02
2019-12-27 02:39:59,0.02
2019-12-27 02:41:59,0.02
2019-12-27 02:43:59,0.02
2019-12-27 02:45:59,0.02
2019-12-27 02:47:59,0.02
2019-12-27 02:49:59,0.02
2019-12-27 02:51:59,0.02
2019-12-27 02:53:59,0.02
2019-12-27 02:55:59,0.02
